title,body,rating,review_date,reviewer_name,reviewer_email,product_url,picture_urls,product_id,product_handle
A Must-Have for Acne-Prone Skin,"Perfect for calming down angry blemishes. I noticed a difference in the texture of my skin within a few days, and it has become a staple in my routine.",1,2024-07-05,Alex Liu,a.liu@example.com,https://shop.com/products/aestura-a-cica-365-blemish-calming-serum-40ml,['https://cdn.shopify.com/review-images/ATO001-1.jpg'],ATO001,AESTURA A-Cica 365 Blemish Calming Serum 40ml
My Skin Feels So Smooth,"My sensitive skin loves these mask pads! They’re gentle yet effective, leaving my skin feeling smooth and hydrated without any irritation.",5,2021-01-31,Sarah Park,s.park@mail.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,"['https://cdn.shopify.com/review-images/ATO002-1.jpg', 'https://cdn.shopify.com/review-images/ATO002-2.jpg']",ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Love These Mask Pads!,A great addition to my skincare routine. These mask pads are so easy to use and give my skin an instant boost of hydration and calmness.,2,2021-06-13,David Choi,d.choi@example.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Perfect for Sensitive Skin,"My sensitive skin loves these mask pads! They’re gentle yet effective, leaving my skin feeling smooth and hydrated without any irritation.",1,2021-09-16,John Wang,j.wang@example.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,"['https://cdn.shopify.com/review-images/ATO002-1.jpg', 'https://cdn.shopify.com/review-images/ATO002-2.jpg']",ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Perfect for Sensitive Skin,Perfect for a quick refresh after a long day. The pads are soaked in a soothing essence that makes my skin feel soft and refreshed.,2,2024-01-28,Emily Chen,e.chen@example.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
My Skin Feels So Smooth,"My sensitive skin loves these mask pads! They’re gentle yet effective, leaving my skin feeling smooth and hydrated without any irritation.",2,2021-05-11,Sarah Park,s.park@shop.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,"['https://cdn.shopify.com/review-images/ATO002-1.jpg', 'https://cdn.shopify.com/review-images/ATO002-2.jpg', 'https://cdn.shopify.com/review-images/ATO002-3.jpg']",ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Great for a Quick Refresh,Perfect for a quick refresh after a long day. The pads are soaked in a soothing essence that makes my skin feel soft and refreshed.,4,2024-12-23,Sarah Park,s.park@example.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
My Skin Feels So Smooth,"These mask pads are ideal for calming down my skin after a long day. I use them in the evenings, and my skin always feels refreshed afterward.",4,2024-04-04,Karen Wong,k.wong@shop.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,"['https://cdn.shopify.com/review-images/ATO002-1.jpg', 'https://cdn.shopify.com/review-images/ATO002-2.jpg']",ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Instant Hydration!,"These mask pads are ideal for calming down my skin after a long day. I use them in the evenings, and my skin always feels refreshed afterward.",5,2022-06-17,Karen Wong,k.wong@shop.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Great for a Quick Refresh,"My sensitive skin loves these mask pads! They’re gentle yet effective, leaving my skin feeling smooth and hydrated without any irritation.",3,2024-05-25,Alex Liu,a.liu@shop.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Instant Hydration!,"The perfect choice for a relaxing, hydrating treatment. They’re super gentle and leave my skin looking bright and dewy.",3,2023-12-04,John Wang,j.wang@shop.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Love These Mask Pads!,"My sensitive skin loves these mask pads! They’re gentle yet effective, leaving my skin feeling smooth and hydrated without any irritation.",5,2021-03-26,James Kim,j.kim@shop.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,"['https://cdn.shopify.com/review-images/ATO002-1.jpg', 'https://cdn.shopify.com/review-images/ATO002-2.jpg', 'https://cdn.shopify.com/review-images/ATO002-3.jpg']",ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Love These Mask Pads!,A great addition to my skincare routine. These mask pads are so easy to use and give my skin an instant boost of hydration and calmness.,1,2021-10-05,Linda Lee,l.lee@example.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,"['https://cdn.shopify.com/review-images/ATO002-1.jpg', 'https://cdn.shopify.com/review-images/ATO002-2.jpg']",ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
My Skin Feels So Smooth,A great addition to my skincare routine. These mask pads are so easy to use and give my skin an instant boost of hydration and calmness.,5,2022-03-28,Linda Lee,l.lee@example.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Love These Mask Pads!,A great addition to my skincare routine. These mask pads are so easy to use and give my skin an instant boost of hydration and calmness.,3,2024-02-11,Alex Liu,a.liu@mail.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Great for a Quick Refresh,"The perfect choice for a relaxing, hydrating treatment. They’re super gentle and leave my skin looking bright and dewy.",4,2023-08-28,Karen Wong,k.wong@mail.com,https://shop.com/products/aestura-a-cica-365-soft-calming-mask-pad,['https://cdn.shopify.com/review-images/ATO002-1.jpg'],ATO002,AESTURA A-Cica 365 Soft Calming Mask Pad
Perfect for Everyday Use,A very gentle toner that leaves my skin feeling balanced and ready for the rest of my products. It’s hydrating without any sticky residue.,5,2024-03-30,John Wang,j.wang@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
A Skincare Staple!,"This toner feels amazing on the skin, with no sting or dryness afterward. It’s incredibly gentle and keeps my skin feeling calm.",5,2023-08-21,Sarah Park,s.park@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Perfect for Everyday Use,"Perfect for calming down my skin after a long day. It’s very soothing, and my skin feels hydrated and less irritated.",1,2023-11-05,Alex Liu,a.liu@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
A Skincare Staple!,This toner is so refreshing and calming. My skin feels instantly hydrated and prepped for the rest of my skincare routine. I love it!,4,2023-06-19,David Choi,d.choi@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Love the Hydration Boost,"Perfect for calming down my skin after a long day. It’s very soothing, and my skin feels hydrated and less irritated.",4,2021-09-17,David Choi,d.choi@example.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Refreshing and Gentle,"It’s a fantastic toner for sensitive skin! I use it every morning, and it really helps with redness and keeps my skin soft all day.",3,2024-12-11,Sarah Park,s.park@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
A Skincare Staple!,"Perfect for calming down my skin after a long day. It’s very soothing, and my skin feels hydrated and less irritated.",5,2024-06-02,David Choi,d.choi@shop.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Love the Hydration Boost,"This toner feels amazing on the skin, with no sting or dryness afterward. It’s incredibly gentle and keeps my skin feeling calm.",3,2021-04-24,Alex Liu,a.liu@shop.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Refreshing and Gentle,This toner is so refreshing and calming. My skin feels instantly hydrated and prepped for the rest of my skincare routine. I love it!,4,2021-07-09,Emily Chen,e.chen@shop.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
A Skincare Staple!,A very gentle toner that leaves my skin feeling balanced and ready for the rest of my products. It’s hydrating without any sticky residue.,2,2023-11-28,John Wang,j.wang@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Refreshing and Gentle,"It’s a fantastic toner for sensitive skin! I use it every morning, and it really helps with redness and keeps my skin soft all day.",2,2022-01-21,James Kim,j.kim@shop.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
A Skincare Staple!,"It’s a fantastic toner for sensitive skin! I use it every morning, and it really helps with redness and keeps my skin soft all day.",1,2022-05-03,Emily Chen,e.chen@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Perfect for Everyday Use,"Perfect for calming down my skin after a long day. It’s very soothing, and my skin feels hydrated and less irritated.",2,2024-10-29,David Choi,d.choi@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Great for Reducing Redness,"Perfect for calming down my skin after a long day. It’s very soothing, and my skin feels hydrated and less irritated.",5,2023-05-12,Emily Chen,e.chen@example.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,['https://cdn.shopify.com/review-images/ATO003-1.jpg'],ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Perfect for Everyday Use,"It’s a fantastic toner for sensitive skin! I use it every morning, and it really helps with redness and keeps my skin soft all day.",5,2022-11-13,Sarah Park,s.park@shop.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Love the Hydration Boost,A very gentle toner that leaves my skin feeling balanced and ready for the rest of my products. It’s hydrating without any sticky residue.,4,2021-10-04,John Wang,j.wang@example.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Love the Hydration Boost,A very gentle toner that leaves my skin feeling balanced and ready for the rest of my products. It’s hydrating without any sticky residue.,2,2021-09-17,Sarah Park,s.park@shop.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Love the Hydration Boost,"This toner feels amazing on the skin, with no sting or dryness afterward. It’s incredibly gentle and keeps my skin feeling calm.",4,2021-03-13,Emily Chen,e.chen@mail.com,https://shop.com/products/aestura-a-cica-365-calming-hydro-toner-250ml,"['https://cdn.shopify.com/review-images/ATO003-1.jpg', 'https://cdn.shopify.com/review-images/ATO003-2.jpg', 'https://cdn.shopify.com/review-images/ATO003-3.jpg']",ATO003,AESTURA A-Cica 365 Calming Hydro Toner 250ml
Perfect for Dry Skin,"Highly recommend for sensitive skin! My eczema-prone areas are so much calmer, and I haven’t experienced any flare-ups since using it.",5,2021-02-06,Emily Chen,e.chen@example.com,https://shop.com/products/aestura-atobarrier-365-body-cream,['https://cdn.shopify.com/review-images/ATO004-1.jpg'],ATO004,AESTURA Atobarrier 365 Body Cream
Winter Skin Savior!,"I love how this cream feels like a luxurious spa treatment at home. It provides intense moisture without any irritation, even on my sensitive areas.",2,2023-12-05,Alex Liu,a.liu@example.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Winter Skin Savior!,"The richness of this cream is unmatched, but it still absorbs quickly and doesn't feel greasy. Perfect for everyday use and great under clothes!",3,2024-12-19,David Choi,d.choi@mail.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg', 'https://cdn.shopify.com/review-images/ATO004-3.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Perfect for Dry Skin,"The richness of this cream is unmatched, but it still absorbs quickly and doesn't feel greasy. Perfect for everyday use and great under clothes!",3,2022-07-06,Karen Wong,k.wong@mail.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg', 'https://cdn.shopify.com/review-images/ATO004-3.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Perfect for Dry Skin,"I love how this cream feels like a luxurious spa treatment at home. It provides intense moisture without any irritation, even on my sensitive areas.",2,2021-07-19,David Choi,d.choi@shop.com,https://shop.com/products/aestura-atobarrier-365-body-cream,['https://cdn.shopify.com/review-images/ATO004-1.jpg'],ATO004,AESTURA Atobarrier 365 Body Cream
Rich But Not Greasy,"Highly recommend for sensitive skin! My eczema-prone areas are so much calmer, and I haven’t experienced any flare-ups since using it.",2,2021-01-03,Alex Liu,a.liu@shop.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg', 'https://cdn.shopify.com/review-images/ATO004-3.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Winter Skin Savior!,"I love how this cream feels like a luxurious spa treatment at home. It provides intense moisture without any irritation, even on my sensitive areas.",5,2021-04-15,Karen Wong,k.wong@example.com,https://shop.com/products/aestura-atobarrier-365-body-cream,['https://cdn.shopify.com/review-images/ATO004-1.jpg'],ATO004,AESTURA Atobarrier 365 Body Cream
Winter Skin Savior!,"The richness of this cream is unmatched, but it still absorbs quickly and doesn't feel greasy. Perfect for everyday use and great under clothes!",3,2023-02-01,Sarah Park,s.park@mail.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Perfect for Dry Skin,"Highly recommend for sensitive skin! My eczema-prone areas are so much calmer, and I haven’t experienced any flare-ups since using it.",2,2022-12-27,Emily Chen,e.chen@mail.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Winter Skin Savior!,"I love how this cream feels like a luxurious spa treatment at home. It provides intense moisture without any irritation, even on my sensitive areas.",1,2024-04-14,Karen Wong,k.wong@shop.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg', 'https://cdn.shopify.com/review-images/ATO004-3.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Gentle on Sensitive Areas,"The richness of this cream is unmatched, but it still absorbs quickly and doesn't feel greasy. Perfect for everyday use and great under clothes!",1,2024-02-01,Alex Liu,a.liu@mail.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Perfect for Dry Skin,"I love how this cream feels like a luxurious spa treatment at home. It provides intense moisture without any irritation, even on my sensitive areas.",2,2022-08-27,David Choi,d.choi@example.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg', 'https://cdn.shopify.com/review-images/ATO004-3.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
Rich But Not Greasy,"This body cream is a game-changer for anyone with extremely dry skin. I use it daily, and my skin stays hydrated even in harsh winter conditions.",2,2021-07-28,Sarah Park,s.park@mail.com,https://shop.com/products/aestura-atobarrier-365-body-cream,"['https://cdn.shopify.com/review-images/ATO004-1.jpg', 'https://cdn.shopify.com/review-images/ATO004-2.jpg', 'https://cdn.shopify.com/review-images/ATO004-3.jpg']",ATO004,AESTURA Atobarrier 365 Body Cream
